City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
405,santiago,0,CL,1517382000,55,-33.44,-70.65,64.4,3.36
406,lasa,20,CY,1517383800,72,34.92,32.53,59.0,4.7
407,sept-iles,90,CA,1517382000,49,50.2,-66.38,3.2,20.8
408,tokur,0,RU,1517386032,55,53.13,132.9,-20.56,2.59
409,dakar,8,SN,1517382000,82,14.69,-17.45,62.6,14.99
410,half moon bay,90,US,1517381760,87,37.46,-122.43,53.6,4.7
411,bandarbeyla,0,SO,1517386034,100,9.49,50.81,75.97,19.6
412,san felipe,0,CL,1517382000,55,-32.75,-70.73,64.4,3.36
413,botad,0,IN,1517386035,31,22.17,71.67,90.28,5.61
414,puerto escondido,32,MX,1517386035,100,15.86,-97.07,81.23,7.52
415,burnie,0,AU,1517386036,100,-41.05,145.91,65.17,9.19
416,pitimbu,40,BR,1517385600,83,-7.47,-34.81,77.0,4.7
417,bronnoysund,0,NO,1517383200,64,65.46,12.2,33.8,27.51
418,broome,20,GB,1517384160,87,52.47,1.45,46.4,19.46
419,porbandar,0,IN,1517382000,31,21.64,69.61,87.8,5.28
420,hofn,0,IS,1517386039,100,64.25,-15.21,35.2,24.96
421,torquay,20,GB,1517383200,81,50.47,-3.52,48.2,16.11
422,ayagoz,0,KZ,1517386039,84,47.96,80.43,15.71,12.21
423,henties bay,20,NA,1517386040,100,-22.12,14.28,64.72,4.27
424,havelock,1,US,1517381880,58,34.88,-76.9,28.4,11.43
425,naples,1,US,1517381580,76,26.14,-81.79,48.2,8.05
426,port blair,0,IN,1517385904,100,11.67,92.75,81.28,11.65
427,ekhabi,48,RU,1517386042,88,53.51,142.97,2.12,8.52
428,duluth,90,US,1517381700,68,46.77,-92.13,28.4,3.36
429,jinsha,90,CN,1517382000,93,24.49,118.41,53.6,2.24
430,kinablangan,88,PH,1517386043,100,7.69,126.55,75.65,14.0
431,cap malheureux,40,MU,1517382000,70,-19.98,57.61,86.0,12.75
432,louis trichardt,0,ZA,1517382000,5,-23.04,29.91,80.6,11.41
433,listvyanka,40,RU,1517383800,65,51.86,104.86,8.6,13.42
434,oleksandrivka,80,UA,1517386045,95,48.74,37.49,31.78,19.93
435,baijiantan,0,CN,1517386046,65,45.63,85.18,-8.91,2.71
436,nizhniy kuranakh,64,RU,1517386046,64,58.84,125.49,-9.36,2.82
437,aberdeen,40,US,1517381580,64,45.47,-98.49,37.4,14.99
438,chapais,75,CA,1517384520,75,49.78,-74.86,-20.21,3.36
439,santa cruz,1,US,1517381760,76,36.97,-122.03,53.6,4.7
440,bontang,88,ID,1517386050,91,0.12,117.47,84.29,7.18
441,santa cruz del sur,80,CU,1517386050,81,20.71,-78.0,71.87,13.67
442,kalmar,40,SE,1517383200,93,56.66,16.36,37.4,11.41
443,vangaindrano,0,MG,1517386052,80,-23.35,47.6,89.24,4.72
444,oromocto,90,CA,1517384700,78,45.85,-66.47,10.4,11.41
445,kawalu,88,ID,1517386054,79,-7.38,108.21,74.75,1.48
446,mabama,0,SL,1517386054,57,8.94,-11.9,78.08,4.72
447,san policarpo,80,PH,1517386054,93,12.18,125.51,80.38,10.76
448,san ignacio,0,CL,1517385600,66,-36.8,-72.03,53.6,11.41
449,gigmoto,88,PH,1517386056,100,13.78,124.39,79.3,9.31
450,barreirinhas,0,BR,1517386056,90,-2.75,-42.83,77.72,9.53
451,fare,68,PF,1517386057,97,-16.7,-151.02,83.21,6.62
452,chumikan,32,RU,1517386057,49,54.72,135.31,-2.92,14.56
453,nome,1,US,1517384100,86,30.04,-94.42,42.8,3.18
454,coihaique,90,CL,1517385600,81,-45.58,-72.07,48.2,6.93
455,maumere,56,ID,1517386068,98,-8.63,122.22,81.55,21.72
456,purpe,88,RU,1517386068,83,64.48,76.69,5.81,12.77
457,itaituba,68,BR,1517386068,92,-4.26,-55.99,75.52,2.15
458,villarrica,0,CL,1517386069,90,-39.28,-72.23,35.78,1.92
459,ixtapa,90,MX,1517385000,73,20.71,-105.21,69.8,1.92
460,sari,0,IR,1517382000,45,36.57,53.06,48.2,2.24
461,mattru,0,SL,1517386070,65,7.62,-11.83,78.67,3.71
462,quatre cocos,40,MU,1517382000,70,-20.21,57.76,86.0,12.75
463,kungurtug,32,RU,1517386071,50,50.6,97.53,-7.83,8.86
464,crotone,0,IT,1517386072,100,39.09,17.12,54.41,1.81
465,siguiri,8,GN,1517386072,32,11.42,-9.17,79.07,9.42
466,pyaozerskiy,80,RU,1517386073,90,65.83,31.17,16.79,4.61
467,beya,0,RU,1517386073,54,53.05,90.92,11.3,1.92
468,waingapu,88,ID,1517386073,82,-9.65,120.26,79.61,10.42
469,elban,0,RU,1517386074,60,50.1,136.51,-13.0,6.73
470,gushikawa,75,JP,1517383800,64,26.35,127.87,68.0,9.17
